Time,Tag_Group,Equipment,Tag_Name,Value,Quality,Source_File
2025-10-20 08:47:30.509,WeighFeeder,Other,Rolling_Avg,33.54,Good,WF with current data.csv
2025-10-20 08:47:40.509,WeighFeeder,Other,Rolling_Avg,33.15,Good,WF with current data.csv
2025-10-20 08:47:43.514,WeighFeeder,CVB_13A,Motor_Current,14.75,Good,WF with current data.csv
2025-10-20 08:47:43.514,WeighFeeder,CVB_109,Motor_Current,24.8,Good,WF with current data.csv
2025-10-20 08:47:44.517,WeighFeeder,CVB_109,Motor_Current,23.73,Good,WF with current data.csv
2025-10-20 08:47:44.517,WeighFeeder,CVB_13A,Motor_Current,17.18,Good,WF with current data.csv
2025-10-20 08:47:45.828,WeighFeeder,Other,Rolling_Avg,33.15,Good,WF with current data.csv
2025-10-20 08:47:45.828,WeighFeeder,Other,Other,1.0,Good,WF with current data.csv
2025-10-20 08:47:45.828,WeighFeeder,FEB_002,Setpoint,0.0,Good,WF with current data.csv
2025-10-20 08:47:45.828,WeighFeeder,FEB_002,Feedrate,0.0,Good,WF with current data.csv
2025-10-20 08:47:45.828,WeighFeeder,FEB_002,Belt_Speed,0.0,Good,WF with current data.csv
2025-10-20 08:47:46.519,WeighFeeder,FEB_002,Load,0.06,Good,WF with current data.csv
2025-10-20 08:47:47.510,WeighFeeder,FEB_002,Load,0.07,Good,WF with current data.csv
2025-10-20 08:47:59.521,WeighFeeder,Other,Rolling_Avg,66.48,Good,WF with current data.csv
2025-10-20 08:48:02.515,WeighFeeder,CVB_13A,Motor_Current,14.87,Good,WF with current data.csv
2025-10-20 08:48:02.515,WeighFeeder,CVB_109,Motor_Current,24.42,Good,WF with current data.csv
2025-10-20 08:48:03.524,WeighFeeder,CVB_13A,Motor_Current,17.31,Good,WF with current data.csv
2025-10-20 08:48:03.524,WeighFeeder,CVB_109,Motor_Current,22.8,Good,WF with current data.csv
2025-10-20 08:48:04.515,WeighFeeder,FEB_002,Load,0.06,Good,WF with current data.csv
2025-10-20 08:48:05.512,WeighFeeder,FEB_002,Load,0.06,Good,WF with current data.csv
2025-10-20 08:48:10.514,WeighFeeder,Other,Rolling_Avg,82.23,Good,WF with current data.csv
2025-10-20 08:48:15.868,WeighFeeder,FEB_002,Setpoint,0.0,Good,WF with current data.csv
2025-10-20 08:48:15.868,WeighFeeder,FEB_002,Feedrate,0.0,Good,WF with current data.csv
2025-10-20 08:48:15.868,WeighFeeder,FEB_002,Belt_Speed,0.0,Good,WF with current data.csv
2025-10-20 08:48:15.868,WeighFeeder,Other,Other,1.0,Good,WF with current data.csv
2025-10-20 08:48:20.516,WeighFeeder,CVB_109,Motor_Current,24.3,Good,WF with current data.csv
2025-10-20 08:48:20.516,WeighFeeder,CVB_13A,Motor_Current,16.57,Good,WF with current data.csv
2025-10-20 08:48:20.516,WeighFeeder,Other,Rolling_Avg,89.18,Good,WF with current data.csv
2025-10-20 08:48:21.516,WeighFeeder,CVB_109,Motor_Current,23.31,Good,WF with current data.csv
2025-10-20 08:48:21.516,WeighFeeder,CVB_13A,Motor_Current,16.25,Good,WF with current data.csv
2025-10-20 08:48:23.512,WeighFeeder,FEB_002,Load,0.07,Good,WF with current data.csv
2025-10-20 08:48:24.510,WeighFeeder,FEB_002,Load,0.07,Good,WF with current data.csv
2025-10-20 08:48:30.513,WeighFeeder,Other,Rolling_Avg,106.08,Good,WF with current data.csv
2025-10-20 08:48:38.519,WeighFeeder,CVB_109,Motor_Current,25.26,Good,WF with current data.csv
2025-10-20 08:48:38.519,WeighFeeder,CVB_13A,Motor_Current,16.94,Good,WF with current data.csv
2025-10-20 08:48:39.522,WeighFeeder,CVB_109,Motor_Current,24.15,Good,WF with current data.csv
2025-10-20 08:48:39.522,WeighFeeder,CVB_13A,Motor_Current,16.63,Good,WF with current data.csv
2025-10-20 08:48:40.518,WeighFeeder,Other,Rolling_Avg,121.44,Good,WF with current data.csv
2025-10-20 08:48:41.520,WeighFeeder,FEB_002,Load,0.05,Good,WF with current data.csv
2025-10-20 08:48:42.520,WeighFeeder,FEB_002,Load,-0.09,Good,WF with current data.csv
2025-10-20 08:48:45.869,WeighFeeder,FEB_002,Setpoint,0.0,Good,WF with current data.csv
2025-10-20 08:48:45.869,WeighFeeder,FEB_002,Feedrate,1.39,Good,WF with current data.csv
2025-10-20 08:48:45.869,WeighFeeder,Other,Other,1.0,Good,WF with current data.csv
2025-10-20 08:48:45.869,WeighFeeder,FEB_002,Belt_Speed,0.0,Good,WF with current data.csv
